dataset,version,k,n,FL,running time,CPU percent,running time adjusted,max memory (kb),kmers read,singletons percentage,kmers per color set,number of color sets,precision
typhimurium,sans original,11,1000,,83.9,2405,2017.0,775584,2004731,3,5,411766,100
typhimurium,fingerprint,11,1000,64,366.0,2158,7898.0,2253340,2004734,3,35,57320,Nan
typhimurium,sans original,21,1000,,122.0,2678,3267.0,4207664,18384172,34,123,149000,100
typhimurium,fingerprint,21,1000,64,180.5,2492,4498.0,1299808,18384591,34,123,149000,100
typhimurium,sans original,31,1000,,124.7,2706,3374.0,4838348,20693452,37,134,154783,100
typhimurium,fingerprint,31,1000,64,191.4,2467,4721.0,1466620,20694069,37,134,154783,100
drosophila,sans original,11,12,,84.9,814,691.0,381564,2097152,0,52429,40,100
drosophila,fingerprint,11,12,16,390.0,1013,3950.0,415848,2097152,0,52429,40,100
drosophila,fingerprint,11,12,32,582.0,1064,6192.0,389324,2097152,0,52429,40,100
drosophila,fingerprint,11,12,64,468.0,1051,4918.0,402984,2097152,0,52429,40,100
drosophila,fingerprint,11,12,128,468.0,1057,4946.0,402028,2097152,0,52429,40,100
drosophila,sans original,21,12,,750.0,876,6570.0,29042716,1186233790,82,289749,4094,100
drosophila,fingerprint,21,12,16,714.0,915,6533.0,29069860,1274116573,84,311216,4094,100
drosophila,fingerprint,21,12,32,726.0,887,6439.0,29419088,1274116573,84,311216,4094,100
drosophila,fingerprint,21,12,64,768.0,914,7019.0,29133860,1274116573,84,311216,4094,100
drosophila,fingerprint,21,12,128,732.0,915,6697.0,32031908,1274116573,84,311216,4094,100
drosophila,sans original,31,12,,840.0,881,7400.0,33489252,1323521577,87,332710,3978,100
drosophila,fingerprint,31,12,16,834.0,916,7639.0,32711712,1430475273,88,359597,3978,100
drosophila,fingerprint,31,12,32,804.0,917,7372.0,32825468,1430475273,88,359597,3978,100
drosophila,fingerprint,31,12,64,786.0,931,7317.0,32434336,1430475273,88,359597,3978,100
drosophila,fingerprint,31,12,128,840.0,912,7660.0,34272356,1430475273,88,359597,3978,100
ebola,sans original,11,160,,0.299,585,1.0,18816,139809,18,49,2833,100
ebola,fingerprint,11,160,16,0.535,1462,7.0,25980,154147,25,26,5963,Nan
ebola,fingerprint,11,160,32,0.398,844,3.0,24152,154147,25,54,2833,100
ebola,fingerprint,11,160,64,0.431,891,3.0,24956,154147,25,54,2833,100
ebola,fingerprint,11,160,128,0.448,890,3.0,27332,154147,25,54,2833,100
ebola,sans original,21,160,,0.34700000000000003,1314,4.0,21204,184551,23,224,825,100
ebola,fingerprint,21,160,16,0.35100000000000003,923,3.0,23804,203084,30,132,1533,Nan
ebola,fingerprint,21,160,32,0.399,906,3.0,23520,203084,30,246,825,100
ebola,fingerprint,21,160,64,0.391,832,3.0,23116,203084,30,246,825,100
ebola,fingerprint,21,160,128,0.41000000000000003,857,3.0,24912,203084,30,246,825,100
ebola,sans original,31,160,,0.364,1345,4.0,22684,210952,25,267,790,100
ebola,fingerprint,31,160,16,0.429,1104,4.0,25064,229895,31,122,1887,Nan
ebola,fingerprint,31,160,32,0.391,910,3.0,24264,229895,31,291,790,100
ebola,fingerprint,31,160,64,0.368,874,3.0,23476,229895,31,291,790,100
ebola,fingerprint,31,160,128,0.424,830,3.0,26120,229895,31,291,790,100
