dataset,version,k,n,FL,running time,CPU percent,running time adjusted,max memory (kb),kmers read,singletons percentage,kmers per color set,number of color sets,precision,threads
typhimurium,fingerprint,11,1000,64,2220.0,99,2197.0,465188,2004734,3,5,411766,100,1
typhimurium,fingerprint,11,1000,64,1338.0,195,2609.0,469616,2004734,3,5,411766,100,2
typhimurium,fingerprint,11,1000,64,1116.0,289,3225.0,481580,2004734,3,5,411766,100,3
typhimurium,fingerprint,11,1000,64,834.0,473,3944.0,498452,2004734,3,5,411766,100,5
typhimurium,fingerprint,11,1000,64,528.0,906,4783.0,610576,2004734,3,5,411766,100,10
typhimurium,fingerprint,11,1000,64,390.0,1359,5300.0,847692,2004734,3,5,411766,100,16
drosophila,fingerprint,11,12,64,600.0,99,594.0,132300,2097152,0,52429,40,100,1
drosophila,fingerprint,11,12,64,450.0,196,882.0,137832,2097152,0,52429,40,100,2
drosophila,fingerprint,11,12,64,390.0,290,1131.0,163252,2097152,0,52429,40,100,3
drosophila,fingerprint,11,12,64,414.0,470,1945.0,213964,2097152,0,52429,40,100,5
drosophila,fingerprint,11,12,64,414.0,848,3510.0,319096,2097152,0,52429,40,100,10
drosophila,fingerprint,11,12,64,486.0,1072,5209.0,403220,2097152,0,52429,40,100,16
ebola,fingerprint,11,160,64,2.2,90,1.0,18772,154147,25,54,2833,100,1
ebola,fingerprint,11,160,64,1.1,130,1.0,19268,154147,25,54,2833,100,2
ebola,fingerprint,11,160,64,0.787,169,1.0,19456,154147,25,54,2833,100,3
ebola,fingerprint,11,160,64,0.684,240,1.0,19468,154147,25,54,2833,100,5
ebola,fingerprint,11,160,64,0.47900000000000004,357,1.0,20312,154147,25,54,2833,100,10
ebola,fingerprint,11,160,64,0.429,526,2.0,21140,154147,25,54,2833,100,16
